"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Leptorhynchoides acanthidion","acanthocephalan",2,2,2,2,"no","adult","def","no",5.95,0.85,3.37632852967521,"2nd","incomplete"
"Leptorhynchoides apoglyphicus","acanthocephalan",2,3,2.5,0,NA,"embryo",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Leptorhynchoides apoglyphicus","acanthocephalan",2,3,2.5,1,"no","1larv","int","yes",2.39,0.335,0.211046696681019,"1st","incomplete"
"Leptorhynchoides apoglyphicus","acanthocephalan",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Leptorhynchoides apoglyphicus","acanthocephalan",2,3,2.5,3,"no","adult","def","yes",17.94,0.76,8.13840886645989,"3rd","incomplete"
"Leptorhynchoides atlanteus","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Leptorhynchoides atlanteus","acanthocephalan",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Leptorhynchoides atlanteus","acanthocephalan",2,2,2,2,"no","adult","def","no",7.51,1,5.89834020711484,"2nd","incomplete"
"Leptorhynchoides macrorchis","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Leptorhynchoides macrorchis","acanthocephalan",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Leptorhynchoides macrorchis","acanthocephalan",2,2,2,2,"no","adult","def","no",9.04,0.84,5.00975957460288,"2nd","incomplete"
"Leptorhynchoides nebularosis","acanthocephalan",2,3,2.5,0,NA,"embryo",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Leptorhynchoides nebularosis","acanthocephalan",2,3,2.5,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Leptorhynchoides nebularosis","acanthocephalan",2,3,2.5,2,"no","adult","def","yes",8.62,0.9,5.48380705647366,"2nd","incomplete"
"Leptorhynchoides seminolus","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Leptorhynchoides seminolus","acanthocephalan",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Leptorhynchoides seminolus","acanthocephalan",2,2,2,2,"no","adult","def","no",6.19,0.9,3.93790785145847,"2nd","incomplete"
"Leptorhynchoides thecatus","acanthocephalan",2,4,3,0,NA,"embryo",NA,"yes",0.05,0.015,0.000392699081698724,"propagule","incomplete"
