Parasite.species,Parasite.group,minLCL,maxLCL,midLCL,Host.no,Facultative,Stage,Def.int,Flex.cycle,Length,Width,Biovolume,Host.nofac,trans_to_int,trans_to_def,trans_to_fac,trans_to_human,complete_size
Arhythmorhynchus frassoni,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.0645,0.027,0.000911847,propagule,yes,no,no,no,complete
Arhythmorhynchus frassoni,acanthocephalan,2,2,2,1,no,1larv,int,no,12.2155,0.627333333,3.775703284,1st,no,yes,no,no,complete
Arhythmorhynchus frassoni,acanthocephalan,2,2,2,2,no,adult,def,no,45,0.45,7.156940764,2nd,no,no,no,no,complete
Ascaridia columbae,nematode,1,1,1,0,NA,embryo,NA,no,0.23,NA,NA,propagule,no,yes,no,no,incomplete
Ascaridia columbae,nematode,1,1,1,1,no,adult,def,no,36.49666667,1.463333333,68.88350431,1st,no,no,no,no,incomplete
Ascaridia compar,nematode,1,1,1,0,NA,embryo,NA,no,NA,NA,NA,propagule,no,yes,no,no,incomplete
Ascaridia compar,nematode,1,1,1,1,no,adult,def,no,56.19444444,1.030833334,33.31697362,1st,no,no,no,no,incomplete
Ascaridia dissimilis,nematode,1,1,1,0,NA,embryo,NA,no,NA,NA,NA,propagule,no,yes,no,no,incomplete
Ascaridia dissimilis,nematode,1,1,1,1,no,adult,def,no,70.48194445,1.215,73.39156476,1st,no,no,no,no,incomplete
Ascaridia galli,nematode,1,1,1,0,NA,embryo,NA,no,NA,NA,NA,propagule,no,yes,no,no,incomplete
Ascaridia galli,nematode,1,1,1,1,no,adult,def,no,84.4,1.45,123.3955417,1st,no,no,no,no,incomplete
Ascaridia numidae,nematode,1,1,1,0,NA,embryo,NA,no,NA,NA,NA,propagule,no,yes,no,no,incomplete
Ascaridia numidae,nematode,1,1,1,1,no,adult,def,no,35.95,1.105,34.77457183,1st,no,no,no,no,incomplete
Ascaris lumbricoides,nematode,1,1,1,0,NA,embryo,NA,no,NA,NA,NA,propagule,no,yes,no,yes,incomplete
Ascaris lumbricoides,nematode,1,1,1,1,no,adult,def,no,214.6,5.95,5811.257222,1st,no,no,no,no,incomplete
Ascaris suum,nematode,1,1,1,0,NA,embryo,NA,no,0.25025,0.012,2.85E-05,propagule,no,yes,no,yes,incomplete
Ascaris suum,nematode,1,1,1,1,no,adult,def,no,244.15,NA,NA,1st,no,no,no,no,incomplete
Ascarophis arctica,nematode,1,2,1.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis arctica,nematode,1,2,1.5,1,no,1larv,int,yes,8.175,0.12575,0.142874588,1st,no,yes,yes,no,incomplete
Ascarophis arctica,nematode,1,2,1.5,2,progenetic,adult,def,yes,12.1,0.1145,0.127498907,2nd,no,no,no,no,incomplete
